Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-POD1-LEAF1A,Ethernet28/1,200.200.200.104/24,l3leaf,DC1-POD1-LEAF1B,Ethernet28/1,200.200.200.204/24
l3leaf,DC1-POD1-LEAF1A,Ethernet29/1,172.17.1.33/31,spine,DC1-POD1-SPINE1,Ethernet1/1,172.17.1.32/31
l3leaf,DC1-POD1-LEAF1A,Ethernet30/1,172.17.1.35/31,spine,DC1-POD1-SPINE2,Ethernet1/1,172.17.1.34/31
l3leaf,DC1-POD1-LEAF1A,Ethernet31/1,172.17.1.37/31,spine,DC1-POD1-SPINE3,Ethernet1/1,172.17.1.36/31
l3leaf,DC1-POD1-LEAF1A,Ethernet32/1,172.17.1.39/31,spine,DC1-POD1-SPINE4,Ethernet1/1,172.17.1.38/31
l3leaf,DC1-POD1-LEAF1B,Ethernet29/1,172.17.1.41/31,spine,DC1-POD1-SPINE1,Ethernet2/1,172.17.1.40/31
l3leaf,DC1-POD1-LEAF1B,Ethernet30/1,172.17.1.43/31,spine,DC1-POD1-SPINE2,Ethernet2/1,172.17.1.42/31
l3leaf,DC1-POD1-LEAF1B,Ethernet31/1,172.17.1.45/31,spine,DC1-POD1-SPINE3,Ethernet2/1,172.17.1.44/31
l3leaf,DC1-POD1-LEAF1B,Ethernet32/1,172.17.1.47/31,spine,DC1-POD1-SPINE4,Ethernet2/1,172.17.1.46/31
l3leaf,DC1-POD1-LEAF2A,Ethernet29/1,172.17.1.49/31,spine,DC1-POD1-SPINE1,Ethernet3/1,172.17.1.48/31
l3leaf,DC1-POD1-LEAF2A,Ethernet30/1,172.17.1.51/31,spine,DC1-POD1-SPINE2,Ethernet3/1,172.17.1.50/31
l3leaf,DC1-POD1-LEAF2A,Ethernet31/1,172.17.1.53/31,spine,DC1-POD1-SPINE3,Ethernet3/1,172.17.1.52/31
l3leaf,DC1-POD1-LEAF2A,Ethernet32/1,172.17.1.55/31,spine,DC1-POD1-SPINE4,Ethernet3/1,172.17.1.54/31
l3leaf,DC1-POD1-LEAF2B,Ethernet29/1,172.17.1.57/31,spine,DC1-POD1-SPINE1,Ethernet4/1,172.17.1.56/31
l3leaf,DC1-POD1-LEAF2B,Ethernet30/1,172.17.1.59/31,spine,DC1-POD1-SPINE2,Ethernet4/1,172.17.1.58/31
l3leaf,DC1-POD1-LEAF2B,Ethernet31/1,172.17.1.61/31,spine,DC1-POD1-SPINE3,Ethernet4/1,172.17.1.60/31
l3leaf,DC1-POD1-LEAF2B,Ethernet32/1,172.17.1.63/31,spine,DC1-POD1-SPINE4,Ethernet4/1,172.17.1.62/31
l3leaf,DC1-POD1-LEAF3A,Ethernet29/1,172.17.1.65/31,spine,DC1-POD1-SPINE1,Ethernet5/1,172.17.1.64/31
l3leaf,DC1-POD1-LEAF3A,Ethernet30/1,172.17.1.67/31,spine,DC1-POD1-SPINE2,Ethernet5/1,172.17.1.66/31
l3leaf,DC1-POD1-LEAF3A,Ethernet31/1,172.17.1.69/31,spine,DC1-POD1-SPINE3,Ethernet5/1,172.17.1.68/31
l3leaf,DC1-POD1-LEAF3A,Ethernet32/1,172.17.1.71/31,spine,DC1-POD1-SPINE4,Ethernet5/1,172.17.1.70/31
l3leaf,DC1-POD1-LEAF3B,Ethernet29/1,172.17.1.73/31,spine,DC1-POD1-SPINE1,Ethernet6/1,172.17.1.72/31
l3leaf,DC1-POD1-LEAF3B,Ethernet30/1,172.17.1.75/31,spine,DC1-POD1-SPINE2,Ethernet6/1,172.17.1.74/31
l3leaf,DC1-POD1-LEAF3B,Ethernet31/1,172.17.1.77/31,spine,DC1-POD1-SPINE3,Ethernet6/1,172.17.1.76/31
l3leaf,DC1-POD1-LEAF3B,Ethernet32/1,172.17.1.79/31,spine,DC1-POD1-SPINE4,Ethernet6/1,172.17.1.78/31
l3leaf,DC1-POD1-LEAF4A,Ethernet29/1,172.17.1.81/31,spine,DC1-POD1-SPINE1,Ethernet7/1,172.17.1.80/31
l3leaf,DC1-POD1-LEAF4A,Ethernet30/1,172.17.1.83/31,spine,DC1-POD1-SPINE2,Ethernet7/1,172.17.1.82/31
l3leaf,DC1-POD1-LEAF4A,Ethernet31/1,172.17.1.85/31,spine,DC1-POD1-SPINE3,Ethernet7/1,172.17.1.84/31
l3leaf,DC1-POD1-LEAF4A,Ethernet32/1,172.17.1.87/31,spine,DC1-POD1-SPINE4,Ethernet7/1,172.17.1.86/31
l3leaf,DC1-POD1-LEAF4B,Ethernet29/1,172.17.1.89/31,spine,DC1-POD1-SPINE1,Ethernet8/1,172.17.1.88/31
l3leaf,DC1-POD1-LEAF4B,Ethernet30/1,172.17.1.91/31,spine,DC1-POD1-SPINE2,Ethernet8/1,172.17.1.90/31
l3leaf,DC1-POD1-LEAF4B,Ethernet31/1,172.17.1.93/31,spine,DC1-POD1-SPINE3,Ethernet8/1,172.17.1.92/31
l3leaf,DC1-POD1-LEAF4B,Ethernet32/1,172.17.1.95/31,spine,DC1-POD1-SPINE4,Ethernet8/1,172.17.1.94/31
